city,datetime,temp,humidity,weather,description,wind_speed,is_extreme
Chicago,2025-04-10 00:00:00,4,83,Clouds,overcast clouds,3.6,0
Chicago,2025-04-10 01:00:00,3.53,89,Rain,light rain,1.34,0
Chicago,2025-04-10 02:00:00,3.4,91,Clouds,overcast clouds,1.79,0
Chicago,2025-04-10 03:00:00,3.42,92,Clouds,overcast clouds,1.34,0
Chicago,2025-04-10 04:00:00,3.62,93,Mist,mist,2.57,0
Miami,2025-04-09 04:00:00,22.19,88,Clouds,broken clouds,3.6,0
Miami,2025-04-09 05:00:00,21.22,87,Clouds,scattered clouds,7.72,0
Miami,2025-04-09 06:00:00,20.23,89,Clouds,broken clouds,7.72,0
Miami,2025-04-09 07:00:00,19.78,85,Clouds,overcast clouds,5.66,0
Miami,2025-04-09 08:00:00,19.63,83,Clouds,overcast clouds,4.63,0
Miami,2025-04-09 09:00:00,19.38,83,Clouds,overcast clouds,4.12,0
Miami,2025-04-09 10:00:00,19.33,84,Clouds,overcast clouds,2.06,0
Miami,2025-04-09 11:00:00,18.86,84,Clouds,overcast clouds,4.12,0
Miami,2025-04-09 12:00:00,18.56,84,Clouds,broken clouds,2.06,0
Miami,2025-04-09 13:00:00,19.76,76,Clouds,few clouds,4.12,0
Miami,2025-04-09 14:00:00,21.96,66,Clouds,few clouds,5.66,0
Miami,2025-04-09 15:00:00,22.61,65,Clouds,scattered clouds,5.66,0
Miami,2025-04-09 16:00:00,23.66,62,Clouds,scattered clouds,4.63,0
Miami,2025-04-09 17:00:00,24.63,60,Clouds,scattered clouds,4.63,0
Miami,2025-04-09 18:00:00,25.34,57,Clouds,scattered clouds,6.69,0
Miami,2025-04-09 19:00:00,26.6,54,Clouds,scattered clouds,4.63,0
Miami,2025-04-09 20:00:00,26.91,51,Clouds,scattered clouds,4.12,0
Miami,2025-04-09 21:00:00,26.71,53,Clouds,scattered clouds,4.12,0
Miami,2025-04-09 22:00:00,25.51,63,Clouds,scattered clouds,3.6,0
Miami,2025-04-09 23:00:00,24.9,64,Clouds,scattered clouds,5.14,0
Miami,2025-04-10 00:00:00,24.24,68,Clouds,broken clouds,4.12,0
Miami,2025-04-10 01:00:00,23.78,61,Clouds,scattered clouds,1.54,0
Miami,2025-04-10 02:00:00,22.87,68,Clouds,few clouds,3.6,0
Miami,2025-04-10 03:00:00,22.31,72,Clouds,few clouds,5.66,0
Miami,2025-04-10 04:00:00,21.43,76,Clear,clear sky,2.06,0
Los Angeles,2025-04-09 04:00:00,16.4,75,Clear,clear sky,1.54,0
Los Angeles,2025-04-09 05:00:00,16.53,74,Clear,clear sky,3.09,0
Los Angeles,2025-04-09 06:00:00,16.33,73,Clear,clear sky,2.06,0
Los Angeles,2025-04-09 07:00:00,15.77,74,Clear,clear sky,1.54,0
Los Angeles,2025-04-09 08:00:00,16.26,71,Clear,clear sky,0,0
Los Angeles,2025-04-09 09:00:00,15.43,75,Clear,clear sky,0,0
Los Angeles,2025-04-09 10:00:00,14.87,77,Clear,clear sky,1.54,0
Los Angeles,2025-04-09 11:00:00,14.7,77,Clear,clear sky,2.06,0
Los Angeles,2025-04-09 12:00:00,14.58,77,Clear,clear sky,0,0
Los Angeles,2025-04-09 13:00:00,14.35,78,Clear,clear sky,1.54,0
Los Angeles,2025-04-09 14:00:00,15.04,84,Clear,clear sky,1.54,0
Los Angeles,2025-04-09 15:00:00,16.61,76,Clear,clear sky,2.06,0
Los Angeles,2025-04-09 16:00:00,19.02,66,Clear,clear sky,1.54,0
Los Angeles,2025-04-09 17:00:00,21.86,56,Clear,clear sky,2.06,0
Los Angeles,2025-04-09 18:00:00,23.62,51,Clear,clear sky,2.06,0
Los Angeles,2025-04-09 19:00:00,23.78,52,Clear,clear sky,4.63,0
Los Angeles,2025-04-09 20:00:00,24.75,49,Clear,clear sky,5.66,0
Los Angeles,2025-04-09 21:00:00,24.76,50,Clear,clear sky,5.14,0
Los Angeles,2025-04-09 22:00:00,24.62,49,Clear,clear sky,5.14,0
Los Angeles,2025-04-09 23:00:00,24.2,49,Clear,clear sky,5.66,0
Los Angeles,2025-04-10 00:00:00,24.22,47,Clear,clear sky,5.66,0
Los Angeles,2025-04-10 01:00:00,23.6,47,Clear,clear sky,4.12,0
Los Angeles,2025-04-10 02:00:00,20.91,56,Clear,clear sky,3.09,0
Los Angeles,2025-04-10 03:00:00,18.76,66,Clear,clear sky,4.12,0
Los Angeles,2025-04-10 04:00:00,17.99,70,Clear,clear sky,3.6,0
